emotion,clean_text
anger,  oh good god quentin letts is doing one of his comedy turns angry   bbctw
anger,  and the dreadful franglaise
sadness, doesnt explain the ability to land at manchester but not bradford  other than more convenient for flybe many unhappy travelers
joy,watch this amazing lively broadcast by   musically
joy, may i suggest that you have a meal that is made with beans onions amp garlic the day before class
anger,i hate it when im singing and some idiot thinks they can just join in with me likethis is not fcking glee meanrikonabot
sadness,dentist just said to me im going to numb your front lip up so itll feel as if youve got lips like pete burns she was right pout
anger,people often grudge others what they cannot enjoy themselves
anger,yeah im hot nigga they say im burning uhhhhh
anger,they want as police state they are fearful imbeciles   
joy,lmboo  using my nephew for meme hilarious
anger, i am irate at you checkin system i have tried to checkin all day and it wouldnt let me do it because i had no seat assigned
anger, event started everyone is getting ready to travel to the lake of rage where everything glows
anger, fear amp anger are similar to what hitler preached to come to power in germany wake up america
anger,srpt why would etep patients amp moms advocate for a drug if it did not work anyone listen to the etep mds  adcomm all were elated
joy, ill be there with vip tickets cant wait to meet you never met a famous person i admire before nervous
joy,  had more fun than the funniest person in funsville much hilarity as usual thank you 
joy, and have social anxiety there is many awkward things wrong with me 
sadness,  the struggle is real whoa i worry for the younger generation 
optimism,matt and i just did a psychological study on provocation in abusive relationships
anger,  ya and the d was what i was most confident about our offense is as good as its been in  yearsour d sucks
anger, gives a frustrated growl before stepping closer and putting his gun through the barrier no alarms and nothing happened he
anger,thanks for ripping me off again luthansa  not enough for a one way flight to man from frk then  for a bag then free at gate
anger, can you please not have canadian players play us players that lag  is atrocious fixthisgame trash sfvrefund
anger,gahhbt in queue for  minutes now put through to bt sport dept to cancel back in a queue again
anger, switch host no bullet rage
optimism,a monster is only a monster if you view him through fear
sadness, dont leave me
anger, fucking hell mate absolute nightmare 
joy,michelle who did nothing is hating on nicoles game hahaha bitter bb
joy,being stuck in the roof of your house provides amazing view but sheer terror of falling down kinda like life
sadness,think val might be going this week ill have to take the rest of the week off work to mourn im sure theyll understand gbbo
anger, appointment booked between  today waited in all day and nobody showed up also requested a call back and never got one
anger,         its an insult
sadness,im so gloomy today
joy, the red one would look super pretty with a bronzy glowy nude lip makeup look rd black would be pretty with a dark lip 
anger,  usa was embarrassing to watch when was the last time you guys won a game  joke
anger,i can already tell this programme is going to infuriate me extremeworld
joy,watch this amazing lively broadcast by  lively musically
sadness,when will the weeks full of mondays end
joy,more checking at work todaynncoffee drank and now its down to some serious business nnthursday bring on friday
anger,whats with these boxes when i search google on chrome horrible distracting
sadness,last night i had a dream that today was christmas i woke up screaming because i wasnt ready
anger, minutes with an incense and all i get is  rattatas pokemongo
anger, ive been disconnected whilst on holiday  but i dont move house until the st october 
anger,sounds like donald trump has spent today just making extra extra sure hed get those frightened white conservative racist votes
sadness,so lost im faded
joy,you dont know what to expect by brendons video lmao la devotee video got me shook
anger,anyone else find  anniversary windows  update  a complete nightmare
anger, cant believe how rude your cashier was today when i was returning an item  your customer service is slacking terrible
joy,  its hilarious
joy,friday is here and we are open tonight and tomorrow get a jump on your halloween and come play with us hauntedattraction tulsa haunt
joy, he gives a gleeful squeak and wraps around you all mine
sadness,some moving clips on youtube tonight of the vigil held at tulsa metropolitan baptist church for terencecruther justice  sadness
anger,watched tna for the first time in a long time what the hell happened to the hardyboys impactonpop wwe terrible
joy,its not that the man did not know how to juggle he just didnt have the balls to do itn funny pun lol  punny
anger, whats with the p a minute charge to  insult to injury
anger,unruly kids at am in the morning nothanks ripping the flower beds up by the roots while their parents watch shocking
anger,  yep as i pointed out before its the politics of loathing thats why the big candidates are so horrible
sadness,  hi dom i saw u at notts county away looking for  mufc away ticket will pay blues
anger,if i spend more than  in shimmy on  drinks ill be raging but we all know its gonna happen
optimism,looks like india is finally taking pakistan n its terrorism to taskuriattacks
anger, old age no hope for the rest of us destined to become deatheaters by 
anger,rojo is just terrible how is he in our team 
joy,aaahhhh a little  to soothe the soul music blues
sadness,the whole idea f a nation revolves around kashmir amp global terrorism evrn dont care their kids dying of hunger nawazfightsforkashmir
sadness,need advice on how to get out of this rut depressing needmotivation
anger,i blame the whole season on natalie the season would have been so different had she not turned her back on her alliance pissed bitter
optimism, looks that way but lets think about rohan last week  optimism
joy,thinking about trying some comedy on youtube always been fond of it time to nut up laughter comedy maybeoneday hopefullyfunny lol
anger,i dont think its fully sunk in that val is gone yet
joy, lol love it when you aggravate juan keep up the good work lol
anger,  wat an irony pakistan lecturing the world on curbing
joy, cheer up chuck
anger,shoutout to the drunk man on the bus who pissed in a bottle and on the seats
sadness, goodbye despair
anger,headed to mdw w layover in slc got off for food wrong move bailed on my food amp barely made it  wannagetaway contest
anger,someone wake me when  make  remix of whybw terrencecrutcher election colinkapernick terrorism riots this much
anger,unbelievable takes  minutes to get through to  then theres a fault and the call hangs up fuming treatcustomersfairly
anger,manchester derby at home revenge
optimism, lt change them himself he follows behind with a scowl pinching his lips and takes the sheets to his room so who is gt
joy,if i was a ghost id haunt people by giving them cramps in both of their legs when they do cardio  mwahaha
anger,sure ohio state is terrible ohio is awful etc etcnnthese feelings began with the toldeo war nnso maybe dont campaign there
sadness, see your primary care doctor they can prescribe meds and refer you to a psychiatrist for eval dont mess with depression
optimism,obama admin rejects texas plan to have refugees vetted for terrorism so texas pulls of of fed refugee resettlement program aiding 
anger,gbbo is such a homely pure piece of tv gold channel  will attempt to tart it up mary sue and mel gone its over im out  fuming
joy,gifs on ios messaging app are hilarious
anger, should have stopped after smiled being rudenot the same as being funnyit was just being mean  stoppickingonwomen
sadness, dobetter only two carriages on  birmingham to hereford no room to stand anymore friday commute unhappy
optimism,hi berniebrocialists of all genders if i lived in a swingish state i would wo hesitation vote clinton amp would do so wo supporting her
sadness,i asked jared to marry me and he said no
joy,im  if you want to see my dick snapkik me at hiya  kik kikme snapchat  snapme horny porn naked young
anger,texans played horrible  bad play calling bad protection of the ball bad coaching bad defense bad overall performance texans horrible
sadness, sadly not enough names  the whole farewell tour situation would make me shy away from good value b et
anger,bayern munich pitch is horrific
anger,at least i dont have a guy trying to discourage me anymore in what i want to do he will never become anything worth contributing to society
joy, awe thank you so much lyle youre the best
anger,   the pledge would have never have to be made if petulant child postrump didnt threaten to run
sadness, hard to tell in your pic my mistake then either way nothing i said initially was about race u took it there sad ignorant
optimism,try to find the good in the negative the negative can turn out to be goodnanxietyrelief optimism openminded
joy,why would enrique sub off busquet hilarious
optimism,the rappers who stayed true to the game is rich
anger, ughh i just want all this to be over its like a nightmare can we all just get along
joy, same its good but not greatdont breathe is the horror film of the month for me my fav horror film of the year so far
anger,i resent biting my tongue
joy,were very busy coding a whole network manager for unityd based on steamworks networking gamedev indiedev amdeadtime  game
anger,if you let a general tweet offend you you definitely shouldnt be on twitter
sadness,ever been really lonely and your phone keeps blowing up but you just cant pick it up and respond to people anxiety recluse  issues
anger,instagram seriously sort your sht out i spent ages writing that caption for you to delete it and not post it fume instagram
anger, you charge  extra for sending someone out and your cable service still doesnt work thats robbery  cable horrible service
sadness,regret for the things we did can be tempered by time it is regret for the things we did not do that is inconsolable  sydney j harris
optimism, so i worry about emphasis on keeping family together as a guiding principle due to my own experiences
anger, klitschko  over fury any day boxing
anger,thats fucking horrific defending from schalke
sadness,i feel like no one is out there on twitter  for me can anyone see what i write sadness rants
joy,lol no mention of pak pm or even his speech on any international news channel and pakis are rejoicing as if the world stands with them
anger, directtv is the best apparently you just sit in silent anger dont press or say anything
joy,ok but how are the fast amp furious movies not classified as comedys 
joy, terrible paul so deserved that win bbfail
anger,the  are playing antichrist why wont  play hustle its an outrage
anger, charlotteprotest do u wait  the facts video or do u hate now ask questions later  protest policeshootings suggestions
optimism,it is not death that most people are afraid of it is getting to the end of life only to realize that you never truly lived
optimism,be strong independant and practical stop living in your world of fantasy snap out of it the faster u get used to the reality the better
joy,well this is cheery mrrobot
sadness,is this the krusty krabnnno this is crippling depression
joy,follow this amazing australian author  fiction horror zombies angels demons vampires werewolves follow authorlove
anger, whats up w the gender bias indignant this fancypants saddlers daughter will opt for the leather jacket thank you very much
sadness,how can i tell happy anniversary when u are not happy bitter ampalaya paitpaitanangpeg
anger,the apocalypse has hit our gym and its  nothing what i thought it would benneveryone is wearing vests what if its contagious
anger, hour  rides make me angry sorry
sadness,what a sad evening  clearing out all of harveys cage and belongings now so final goodbye my little man depressing
anger,so ive decided to go talk to mr smithrud about that creepy fucking guy since he gave me a fucking anxiety attack this morning
optimism,trying to think positive and not let this situation discourage me 
joy,it was an amazing start to the first fall  day will it be an indiansummer
sadness, offense cant score  redzone trips no points n lbs cant pull flags n i missed a flag that lead to a td dat took da league
joy,ari looks hilarious oh my g d this is too much
joy,having holiday blues wanttogobacktominehead
anger, todays proceedings and the entire process is an insult to our constituents
anger, coincidentally watched ulzanas raid last night  brutally indignant filmmaking
sadness,idk why but this time around its so hard that it hurts i already miss them all so much silly family friends nervous
sadness,im okay dont worry i wish id been a better kid im trying to slow down im sorry for letting you down
joy,srvs voodoo child is approximately  times better than jimis guitar music blues
anger, annoys me to about the ortiz tribute too how would the oriole fans and organization feel if yanks did that to them awful
joy,   my snap is andriaprebles 
optimism,doing some testing with my current earth burst team
anger, sat waiting for bus today enveloped in a strawberry scented damp and revolting cloud of vape i moved away disgusting urghh
joy, is the live event brock vs orton  this saturday on the wwe network if not it needs to be  wwe   revenge
anger, first you take the room now you wanna beat me up bully
joy,knowing how to cook is invaluable whats even better is that even in a  sq ft place i have wide and hearty homestyle egg noodles
optimism, uplift if youre still discouraged it means ur listening to the wrong voices amp looking to the wrong source look to the lord
joy,im still laughing bitch took my pillow line glee kurt
sadness,if payet goes either in jan or  the seasons end cant say i blame him the boy must b so disheartened by what hes seeing at the mo
anger, its reflective of the current political debate awful
anger,i hope this comes back to haunt you then maybe you would know just how it felt to be like me at my lowest
joy,i like the commercial where  on a chocolate milk bender steals a soccer ball from some guys and refuses to give it back bully
sadness,everywhere i go the air i breathe in tastes like home   restless
joy,watch this amazing lively broadcast by  lively musically
anger, im so mad for our clients im furious lmao
anger,just joined pottermore and was sorted into hufflepuff 
sadness, lydiaaaa we were the only ones that were supposed to know that you make me nervous 
anger,i swear if  blocks me im going to hit her back
joy,does this blow your mind as much as it blew mine or did i just sexually harass someone whoa mindblown huh setback fright madashell 
sadness,why bother tweeting poor mens nwhat good does it do  if im unable to be cheery  i go quiet  missed you  btw
anger,that feel when you travel  miles to pick up a form that arrives in the post two days after you leave fume
anger, thanks for getting back to me exemplary customer service for a loyal customer jk  residentadvisor poorservice
joy,every year i go to universal studios to horror nights as a rd wheel lol 
sadness,i wonder what would happen if i were a father weary
optimism,a persons opinion doesnt offend me at all
anger, yeah a terror packed terror supported speech
optimism,anger is cheap and politeness is expensive dont expect everybody to be polite thoughtfulthursday  politeness
optimism, i wasnt meaning to offend you i was saying from personal experience kids got placed into these classes and they take advantage
sadness,its weird because i was discussing sex resentment and confusion in the thing i was writing last night
joy, for serious intermediaries all required info about project or owner will be mailed
joy,yo yo yomy name is darthvader ni feel like i need to puff on my inhaler im no rapper but that was some sick bars breathless bars rap
optimism,   not to worry hell flip wisconsin
anger,how am i supposed to intimidate the freshman if half of them are taller than i am
anger,  shocking
joy,watch this amazing lively broadcast by   musically
anger, sam yes we have not helpful at all we need this sorting asap you keep promising stuff that doesnt happen
anger,an absolutely dire first half and i cant recall a shot on target nnagainst accrington stanley
anger, thanks for saying my wife and i were getting our iphones today and then losing both of them with no eta thanks angry
anger,revenge
optimism,peiyophobilia  an advice from  dont fear for devil sure shot  voice more energeticxtremly foot tapping one 
anger,haww i think nawaz should have spoken about indian funding to bla in balochistan kulbhoshan yadhav and how india used ttp for terror
anger,anger that you are willing to take out on people amp the world in general amp all police is worst most indefensible kind of 
sadness,no sober weekend 
anger,can we get a shot of lingys face at  time  pretty sure it would be more red then his hair fuming pretendinghesok ruok aflcatsswans
optimism,so blend the waters lienthere shrines and free  the melancholy waters lienno rays from out the dull tide  as if the vine
sadness,oh btw  after a  month depressionfree time i got a relapse now superb
joy,  dont be silly  she doesnt want to scare them off 
anger,the girl sitting in front of me is chewing her gum like a cow amp im ready to snap 
sadness,im just always too shy
joy,i like cycling because i get to intimidate people with my powerful calves amp horrendous tan lines
joy,   i still cant get jimmy garoppolo out of my head and its been almost  weeks thanks a lot hilarious
joy,jazz  the blues is the roots the rest is the fruits
anger,americans as a whole are for the most part feeling borderline despair at the very least looking at a situation out of control
anger, for your next series will u do a celebrity firefighting show and just chuck them all in a burning building and do the voiceover
sadness,the zika hoax files deet is part of a binary chemical weapon targeting your brain toxin  neurological uscitizens insect mammal
anger, be nice if the texans could hold onto the ball to give fuller and hopkins a chance awful tnf
joy, miss cookie sends her thanks shes not as spry as she used to be  like me she doesnt have the adventures the young pups do
sadness,when u havent learned to swim  but you keep working out so youre denser and less buoyant  but swimming is scary  but also u cant swim 
optimism,a pessimist sees the difficulty in every opportunity an optimist sees the opportunity in every difficulty n winston s churchill quote
joy,  i love my irontekfit protein shake in the morning before yoga esvoxbox
anger,why does terrorism exist in the first place asktrumponequestion
anger,damn our offense is a mix bag of unpredictable lethal weapons im worried for defense coordinators  chargers boltup recharged
sadness,bad news fam life is still hard and awful depression anxiety atleastihavebuffy
sadness,i just killed a spider so big it sprayed spider guts on me like a horror movien ugh
sadness,  donald trump in the white house shudder
sadness, yeah im sure it will its just so depressing having to talk to my parents over the phone instead of talking to them downstairs
anger, ea sports technical support team really suprised me  suprised me at how shit they were
sadness, sadly at least  more years of this at what point will even the low info selfie lovers who voted for them say enough is enough
sadness,changing my hair again shocking
joy,oh yay old scientist builds himself a robot assistant and makes it look like a hot naked woman nothing alarming here
anger,   she never said anything about taking away guns but i would now bc of your stupid scare tactics for gun salessickening
sadness, hope they refuse  x depressing
anger, for me not so much outrage as oh using female body to sell something again
sadness, err i wasnt gloomy   mio people were not gloomy only remain were brexit
sadness,this weather making me dread work tonight
anger, oh so thats where brian was where was my invite offended
anger,me sees incense burner is this for drugs
joy,tweeting from the sporadic wifi on the tube perilous
anger,ahs every  minutes ive been saying nope nope id be gone by now move or gtfo so thank you for the fear
anger, cant cope wi her sour face and tiny pout 
anger, oh you insult me what you think just because i look like this im psycho im more sane than most gotham freaks
joy,  revolting cocks if you think im sexy
optimism,update i have yet to hang out with  but im still hopeful optimism
joy,day  of harvest  listening to the sound of the chopper working its way closer to home at  makes me  farm
sadness, sadness with resentment is the past sadness with fear is the future try to live in the now mhchat
anger, both are nonsensical if theres injustice against blacks why add to it by destroying black property its misdirected anger
sadness,mixed emotions sadness anxietymaybe missingfriends growingupsucks lostfriends wheresthetruefriends complications
joy, even when were fighting im laughing i probably have serious ingrained issues
optimism,fear blocks blessings faith unlocks them manup  faith
anger,   trudeau endulging on outrage culture once again preaching issues ad hominembut never quanitfying them
optimism, thats why compatibility is key as it lowers hedonic volatility
sadness,multitasking  i may have to induce these seeds of mine to sleep restless
anger,  cancelling home fibe internet and tv this afternoon  as soon as i can arrange alternate internet  angry fedup
optimism,bring on my interview at hospital tho 
anger, legit why i am so furious with him people are such fucking idiots
anger, add tracking but resent them
joy,wishing a very happy birthday to our awesome dancer ruthann we hope your day is magical bday  eatcake
joy,michelle who did nothing is hating on nicoles game hahaha  bb
anger, specifically are the cause of it all and they resent being considered the enemy
anger,not sure that men can handle a woman thats got her crap together  independent
sadness,heard of panic at the disco how about kaching at the atm
anger,false alarm  matoma amp becky hill
anger,there are magpies gathering around me help im going to be swooped  terrorism
sadness,fashion week this year is dull af someone inspire me 
joy, thats awesome  ps ok what are the odds of that swapping neighborhoods
joy,hows the new batmantelltaleseries looks good but im growing weary of this gaming style batman
optimism, im so serious dm me ill tell u more
anger, i did that  days later my order isnt even in the same postcode as me fuming
optimism,will do fine on the mat tonight with or without sleep theres no worry for that on this side of the water
optimism,tip  dont worry about pleasing everyone titanwisdom
sadness,watched the movie friend request at am awhile ago in a dark cold night and it was one of the bad choices ive ever made nightmare 
anger, ber off ncfc is a grudge match 
sadness, i just have serious respect for any man that can pull off a bun better than i can like maybe they can teach me their ways
anger,scorpios can withdraw to a quiet place after being hurt only to think of a plan to sting back
optimism,my interview went well today i cant wait to find out what happens nervous excited interview jobinterview
anger,ive always wondered how long angelina put up with brads crap not gon lie 
anger,sickness bug awful
anger, fucked my coupon that goal raging
anger,if i spend even  minutes with you and you already irritate me i seriously will bitch you out until you shut up
sadness,light of day per heyday popularization backfire cinematography xucqb
optimism, you may be right but since year the bad events begin with b im privately hoping weve got at least cz to go st optimism
optimism, its daunting trying to follow swift newstrends and facing mindshattering patternsterms left and right im trying to adopt gently
anger,rm will win the game at the last minutes and madridistas will say cules stayed this long watching rm win at the end disgusting fanbase
optimism,  yeah this actually supports why i tweeted in this thread initially because of the articles righteous indignation
joy,   we just found thin mints in a freezer clean i couldnt be more elated
sadness,i cant live anymore my roblox got termianted   killme lol robloxgamer
anger,i wonder what american city will be next to protest about police shootings whos next smh whenwillitstop angry howmanymoretimes
optimism,  good thing the fbi didnt offend them
sadness,ive returned from the dead with a desire to clean the apartment and eat something that isnt garbage managing depression
anger, im furious 
anger, why is there no disabled access at pontefract monkhill
anger, this amount of greedy mooching makes me snarl
joy, thanks big bro its shake and bake and you helped
anger, reyes snarled in frustrated anger steel claws flexing dangerously but she uttered those damning words it seems to snap 
sadness, charlotteprotest do u wait  the facts video or do u hate now ask questions later sad protest policeshootings suggestions
anger, yet you and all the other english pundits are afraid to criticise him
anger, then u understand that rage is often not pretty or controlled or rational  it is often visceralnot always logical
joy,you head north and arrive at a breezy cave it smells sweet you glance at your watch youre running  minutes late
sadness,havent gotten one hour of sleep today is going to be a fun day 
sadness, vas a ir al de the amaity affliction
anger,a little nose irritation and a little more chills on my body im so not into flu into flu into flu fallsongs
sadness,but ill be a pity 
sadness,how do u grieve someone who legally wasnt a person yet
joy, i love parody accounts well done vote for trump lol hilarious
sadness, but sadly he missed some crucial and important points indian terrorism in pk  kal boshan  etc  raw involvement
optimism,accept the challenges so that you can feel the exhilaration of victory  george s patton
anger, going back to blissful ignorance
anger, wakes up and says have you tried changing her nappy  rage
anger,smh customers getting angry at me bc i aint got no marlboro lights in the gas hut i called them in  hours ago fuck you
sadness,gtlt too much clutter in my brain with recent little changes that i havent yet processed dying panic ivebeenbusierwhyamioverwhelmed 
anger, peanut butter you some kinda pervert awful
anger, something needs to be done about people hogging machines  nobody can use  machines at one time angry notfair whypay
joy,thinking about trying some comedy on youtube always been fond of it time to nut up  comedy maybeoneday hopefullyfunny lol
joy, ive left it for my dad to deal with  my work is done as soon as its felt the wrath of my slipper 
sadness,not near my kitchen so unfortunately i cannot do a cooking snap series 
anger, don king is an insult to the intelligence of the black community  what are these people thinking
anger,gahhbt in queue for  minutes now put through to bt sport dept to cancel back in a queue again shocking
anger,these confident bitches should scare you the most
sadness,hey  why can i only see  sent emails wheres the thousands gone  panic
joy,  and gives it to hear please i can tell you anything if you want to listen maybe youre dont afraid anymore of me 
sadness,how do you ever stop being afraid of someone that you live with
joy,clash of the titans and wrath of the titans  
anger, grim what the fuck going on with these dame fucking clowns takeing the gameing channel if i had a way to nj i would delete
sadness,and i cried in front of my guy last night and its just been a horrible week but its only for a week
sadness,life is hard its harder if ur stupid life love sadness sadderness moreofsad howdoestears whatislife
optimism, sure have sydney are too tough too quick and their team pressure is too much for the cats to handle motlopcowan
sadness,still waits for yang guess she really needs her sleep or something kittens feeling kinda dejected right now offline
joy,the prospect of getting choked out by a hot daddy tonight is sorta cheering me up but i also kinda just wanna watch the new ahs episode lol
sadness,  i cant find my patronus the website doesnt work i cant even see the questions sadness
anger,dont join  they put the phone down on you talk over you and are rude taking money out of my acc willynilly fuming
anger, this is it the complete illiteracy around the role nature and extent of british agents is shocking
sadness,the labor of love is not cheap or inexpensive its the time spent earning it lackadaisical dreamer
sadness,i want to pour all my tears on someone right now so tired of this upset sad
joy,watch this amazing lively broadcast by  lively musically
anger, didnt even realise you used that insult it was that shit mate
joy, boro are at the os before then they could give the stewards a good work out chelsea will get about k will be lively
sadness,the sad moment when u hand in an exam knowing u failed and grieve by eating and sleeping
anger,i dont know what wifiisp rivertide suites in seaside oregon uses but ms ping best i can get and a dl test wont complete terrible
sadness, dude we same fukc i lost my spectacles this morning
joy,its a beautiful day today cloudy but sunny and breezy
sadness,halfway to work and i realize i forgot to put on underwearits going to be one of those days mombrain toomuchgoingon longday breezy
optimism,always do sober what you said youd do drunk that will teach you to keep your mouth shut n ernest hemingway quote
sadness,bloody hell pam calm yourself down but could have sworn something black amp hairy just ran across the carpet perilsoflivingalone nervous
joy, ill be there cant wait for all the mirth
anger,a wise man told me that holdin a grudge is likenletting somebody just live inside of your head rent free
anger,how is it suppose to work if you do that wtf dude thanks for pissing me off
anger,inpouring this letter we are dying over against subsist checking quaint virtuoso ways toward fine huff yours l
joy,induction day tomorrow for pizza express
anger,shoutout to  for ruining my iphone  order
anger,i hate freaking out and ruining things anxiety
anger,im tired of everybody telling me to chill out and everythings ok no the fuck its not im tired of faking a a fucking smile
optimism,what do you get when you cross an apple tree and a pine tree nnothing you cant crosspollinate deciduous and coniferous trees
anger,im so serious about putting words in my mouth bitch dont add  the  to my sentence if i didnt say that shit on bloods
sadness, unfortunately the diet is still on so they will have to wait till friday im afraid
anger,can someone make me a priority list of which things i should be outraged at  in which order outrage racism animalrights abortion cops
sadness,the smell of freshly cut grass didnt even cheer me upboy oh boy
anger,ooooooooh my god uuuugggghhhhhhhhh rage
sadness,a  season is all im looking for at this point depressing royals
sadness, yeah agree  i think it was a family member and they covered up sad
anger,with that draw the scum must be rubbing their hands with glee typical draw for the woolwich lot jammygunnerscum
joy, now thats what i call a gameface gameface
anger,so about mths ago i signed up to  for their   velocity ff deal  months in still no ff points shocking
sadness,i am le depressed i l hate myself xdddd sad depress loner emo
joy, haha horrific is all that needs to be said glad im away to spain on sat so missing game 
joy, ya know i love ya man but thegreeninferno really fucked with my headgiggledo it again epic  ineedtherapy
joy,while i was walking a little boy in a red shirt years of age shouting from a distance of  meters in a jovial manner saying
anger,just saw lil homie  rage on cam  werent roids a thing in the late s or has it come back im lost
anger,drunk people annoy me when im sober lol  fact teamfollowback rocktheretweet
anger, offended the tonys have found a way to leave me out and now yall have too
anger,  amal clooney should try to prosecute  bush blair for war crimes that turned our world upside downampcreated
anger, i feel horrible dealing with players in hots news on what youre doing about it getting stuck with uncooperative people
anger, data stolen in  and only now do you tell us shocking
anger,i am using twitter as a coping mechanism for raging out at this kid oops
anger,  i need it today do u know how many fuckin french plaits i had to do this morn with a stroppy  yr old
joy,  any of yall remember when mlb tried a futuristic jersey those were all
sadness, no idea just exhausted and i was tidying my room and just burst out crying  fs
sadness,me myself and i n horror movie alone again tonight maybe a zombie would eat me and finish my life game already  i want gameover
anger,no offense but to the ppl out there using creams to build your glutescome on go squat and what not
anger,pro tip go back to work when your kid reaches  mos old  stay home any longer and youll be absolutely miserable with the tantrums
joy,catering channels at the height technics hearty enjoyment symptomatize vrlfeyrn
anger,bes you dont just tell a true blooded hoopjunkie to switch a fc team that juz destroyed your own team you juz dont
anger,gotta wonder why caller max listens to the show in the first place if you so incense him 
anger,its unbelievable that security guard acting like a gangster trying  threaten me and tell me what to do with my own home terrify annoy 
joy,watch this amazing lively broadcast by  lively musically
joy, ive just found out its candice and not candace she can pout all she likes for me 
sadness,dunno y am going to the yorkshire scare grounds when i only lasted a minute in the alton towers one before running out a fire exit crying
optimism,dear indiansit is hard to swallow this but for once try to swallow this bitter pillthat is pakistan is number one in test cricket
anger, black armed thug with a record carrying gun illegally gets shot by black cop outrage   this is a jokelet em destroy their town
anger,niggas never changedeven as a kid and a  year old in his interviews seems jovial and happy after death of his sisterhe did it
joy,watch this amazing lively broadcast by   musically
anger,hey no turn over after a kick  way to go texans  way to go texans  noheart
anger,people irritate my mf soul
joy,watch this amazing lively broadcast by   musically
anger,i wonder how gleeful it is to be dumb af and see the world through rose tinted glasses
sadness,the weather sure matches the mood in this state today gloomy
sadness,my modern proverb dont let anyone intimidate you about being single most marriages end in divorce
sadness, ps i still think your broken leg against scott steiner was one of the most horrific injuries ive ever seen in the ring ccot
joy, yessir also cheering for sweden bc of lundqvist
anger,i cant believe theyre all messing up my favourite of all bakes i feel personally offended
anger,donnie trumpeter is a vapid and vacant vile viper slithering through the landscape and playing on the gears of the fearful and afraid
joy,so i survived spintrying to get down the stairs was hilarious tho jellylegs 
joy,watch this amazing lively broadcast by  lively musically
anger,  im now writing abt the changing face of sex industry in tr  now men will talk to me then revenge
joy,does anyone remember a movie that is animated in the late s called shame of the jungle john bulushi was in it wild if thats your taste
sadness,its so gloomy outside i wish it was as cold as it looked
anger,hate being sober so i popped two
anger,      to give me my keys back they arent for my house
sadness,the bowl on my new food processor broke  sadness
anger,in  black people are still fighting to be recognized as human beings cantsleep angry
joy,so far ours greet have raised  for  with more to come in sparkling  
joy, i send ya a few playful nibbles 
optimism,dont get bitter get better
anger, hi folks flight is going to be over an hour late departing from inv ezy how do we go about getting a refund please
joy, goal scorer vidar kjartansson comes off in favor of dor micha another terrific performance by  yallamaccabi
anger,im not use to getting up early asf this shit goin irritate me
sadness, if your depressed and somebody calls you long faced will you still automatically take umbrage
anger, the worst customer service and lack of professionalism from this service provider phoneprovider badbusiness terrible
joy,am and off to the hospital elouises waters have gone  labour littlesister superexcited
anger,  nso when exactly did you lose your mind pal ntrump fraud misogynist liar psychopath narcissist revolting conartist
sadness,what terrible thing to see and have no visionnnhelen kellernnbegin with the end in mindnnstephen coveynn whereareugoing
joy,watch this amazing lively broadcast by   musically
optimism,a nonpermissive environment is also called a battleground  milspeak
joy,  lol no its sparkling wine
anger, poor  angry and justly so offer people some hope my god does anyone see this education should not be for the elite
anger,pakistan is terrorist state carries out war crimes india to  unga  un
anger, opened doors to terrorism and he will pay for it  
anger, the pout tips me over the edge i am most definitely agin who the feic bakes with full make up and boots with heels
sadness,depress 
optimism,leeds surely to drop the prices for that cup tie rather than the dismal attendance last night
anger, good  cuz thats what trump is a fucken nazi don kingu havnt sunk this low since u set up mike tyson  pathetic dons
joy, i thought everyday was a glee day
sadness, grim really
optimism,you have a problem yes can you do something about it no than why worry
joy,second episode of ahs  here i go
sadness,  yes  right  i mean i wish you hadnt been discouraged to see mikeandmolly because so many parallels really 
sadness,  just got wind of menforchoice and it doesnt infuriate me just makes me sad for the generation
sadness,life long fear of havin a shit and a spider crawls up ya bum
anger,unbelievable takes  minutes to get through to  then theres a fault and the call hangs up  treatcustomersfairly
optimism,  looks like a book shaped like a gun to me optimism itsagunalright
optimism, i think you should do get the fashion police involved
anger,a momentnif you kill it in the spirit it will die in the natural murder suicide  racism pride
sadness,ninaturner mine too with what is happening in country i needed this moment of levity bernblade lisavikingstad
anger,im just a fuming ball of anger today 
optimism,indignation whispers to date during that terrific lermanletts centerpiece scene thats his overwhelming sense of indignation
joy, one day im drinking a bottle of nyquil the other im sleeping zero my lovely horror fam which should i watch 
anger, negative campaign of doom and gloom dont win elections
sadness,  start mournful then kick into major key in last verse where good guys win or just change words in existing song
sadness,all i want to do is watch some netflix but i am stuck here in class depressing
sadness,  to good hearts i lost my job im responsible  families my information in profile even dollar if cant just retweet
joy,i was literally shaking getting the ekg done lol 
anger,police dont wanna be called pigs but they keep actin like emhonestly thats even an insult to pigs
sadness, i know smh my heart sunk into my stomach
anger,can only blame jose ere why would you give rojo another start after sunday  fucking disaster waiting to happen amp it did shocking header 
anger,yall bitches be so angry and bitter that must truly suck lol
sadness,today you visited me in my dreams and even though you arent physically gone i still mourn you
optimism,i wish i could fast forward  months from now ill know then where im at with my girl my classes and basketball rn i have pure
sadness, it happens and vegas isnt the only origin thats prevelant sadly
anger, dont provoke me to anger
sadness,  u gave laura so much constructive criticism she blocked u lazy give up now no hope retire same with heather
anger,and she got all angry telling me but what would be doing a  year old guy looking for a girl like you and i felt offended
